model_id,chain,parameter,chain_effective_sample_size
BVAR-SV-final-chain2,2,lag1__Bund2Y_change__to__GreenBond_relative,360.07993390134
BVAR-SV-final-chain2,2,lag1__CISS_change__to__GreenBond_relative,877.753624055666
BVAR-SV-final-chain2,2,intercept__GreenBond_relative,2844.5631673406892
BVAR-SV-final-chain2,2,sv_mu__EUA_ret,2333.6205153303863
BVAR-SV-final-chain2,2,sv_mu__TTF_ret,4001.121896529521
BVAR-SV-final-chain2,2,sv_mu__Brent_ret,2218.6121174824652
BVAR-SV-final-chain2,2,sv_mu__Power_ret,3629.0413887525815
BVAR-SV-final-chain2,2,sv_mu__CPI_yoy_change,3973.013948101612
BVAR-SV-final-chain2,2,sv_mu__IP_growth,3807.224149736657
BVAR-SV-final-chain2,2,sv_mu__Bund2Y_change,4119.685883738545
BVAR-SV-final-chain2,2,sv_mu__CISS_change,361.8164103678534
BVAR-SV-final-chain2,2,sv_mu__GreenEquity_relative,3207.6465829663243
BVAR-SV-final-chain2,2,sv_mu__GreenBond_relative,1599.3072175799969
BVAR-SV-final-chain2,2,sv_phi__EUA_ret,579.5905585155002
BVAR-SV-final-chain2,2,sv_phi__TTF_ret,903.2010826329209
BVAR-SV-final-chain2,2,sv_phi__Brent_ret,466.64747371862467
BVAR-SV-final-chain2,2,sv_phi__Power_ret,941.3820726508238
BVAR-SV-final-chain2,2,sv_phi__CPI_yoy_change,498.92884614512093
BVAR-SV-final-chain2,2,sv_phi__IP_growth,1064.863647465825
BVAR-SV-final-chain2,2,sv_phi__Bund2Y_change,933.3822616452333
BVAR-SV-final-chain2,2,sv_phi__CISS_change,881.2429754828037
BVAR-SV-final-chain2,2,sv_phi__GreenEquity_relative,356.36930690780116
BVAR-SV-final-chain2,2,sv_phi__GreenBond_relative,923.6950701527012
BVAR-SV-final-chain2,2,sv_sigma2__EUA_ret,327.66151466958246
BVAR-SV-final-chain2,2,sv_sigma2__TTF_ret,366.868217830607
BVAR-SV-final-chain2,2,sv_sigma2__Brent_ret,395.2661235258682
BVAR-SV-final-chain2,2,sv_sigma2__Power_ret,420.3944636624588
BVAR-SV-final-chain2,2,sv_sigma2__CPI_yoy_change,321.8931711710079
BVAR-SV-final-chain2,2,sv_sigma2__IP_growth,528.172145791279
BVAR-SV-final-chain2,2,sv_sigma2__Bund2Y_change,367.58774476471444
BVAR-SV-final-chain2,2,sv_sigma2__CISS_change,642.1551997200414
BVAR-SV-final-chain2,2,sv_sigma2__GreenEquity_relative,210.51117975837428
BVAR-SV-final-chain2,2,sv_sigma2__GreenBond_relative,426.79972905899473
BVAR-SV-final-chain2,2,cholesky_U_1,9999.999999999969
BVAR-SV-final-chain2,2,cholesky_U_2,10000.000000000011
BVAR-SV-final-chain2,2,cholesky_U_3,9657.75723966315
BVAR-SV-final-chain2,2,cholesky_U_4,9134.581281486691
BVAR-SV-final-chain2,2,cholesky_U_5,5063.816888480791
BVAR-SV-final-chain2,2,cholesky_U_6,9999.999999999993
BVAR-SV-final-chain2,2,cholesky_U_7,6359.548795027335
BVAR-SV-final-chain2,2,cholesky_U_8,3241.5149444551494
BVAR-SV-final-chain2,2,cholesky_U_9,1324.8853814340785
BVAR-SV-final-chain2,2,cholesky_U_10,6983.2129679630425
BVAR-SV-final-chain3,3,own_lag1__EUA_ret,4897.175953081164
BVAR-SV-final-chain3,3,own_lag1__TTF_ret,4897.671851841966
BVAR-SV-final-chain3,3,own_lag1__Brent_ret,3881.846285863543
BVAR-SV-final-chain3,3,own_lag1__Power_ret,1555.45899362615
BVAR-SV-final-chain3,3,own_lag1__CPI_yoy_change,3100.037817828861
BVAR-SV-final-chain3,3,own_lag1__IP_growth,2150.7929100964916
BVAR-SV-final-chain3,3,own_lag1__Bund2Y_change,3150.8043570904088
BVAR-SV-final-chain3,3,own_lag1__CISS_change,2094.57005424197
BVAR-SV-final-chain3,3,own_lag1__GreenEquity_relative,3944.858443531671
BVAR-SV-final-chain3,3,own_lag1__GreenBond_relative,3455.4130907697645
BVAR-SV-final-chain3,3,lag1__EUA_ret__to__GreenEquity_relative,7778.361325805455
BVAR-SV-final-chain3,3,lag1__TTF_ret__to__GreenEquity_relative,5532.738606145455
BVAR-SV-final-chain3,3,lag1__Brent_ret__to__GreenEquity_relative,3911.0504882783716
BVAR-SV-final-chain3,3,lag1__Power_ret__to__GreenEquity_relative,2707.0976005173516
BVAR-SV-final-chain3,3,lag1__CPI_yoy_change__to__GreenEquity_relative,2904.621147462789
BVAR-SV-final-chain3,3,lag1__IP_growth__to__GreenEquity_relative,6394.432162546214
BVAR-SV-final-chain3,3,lag1__Bund2Y_change__to__GreenEquity_relative,4595.979560418701
